Table 62. Region of residence: Shares of annual aggregate expenditures and sources of income, Consumer                                                                                                  
Expenditure Survey, 2001                                                                                                                                                                                
                                                                                                                                                                                                        
  (Aggregates in millions of dollars, unless otherwise indicated)                                                                                                                                       
                                                                                                                                                                                                        
                                                                                                                                                                                                        
                    Item                        Aggregate    Northeast     Midwest       South        West                                                                                              
                                                                                                              
                                                                                         
Number of consumer units (in thousands)......     110,339       20,940       25,842       39,177       24,380                                                                                           
Percent distribution of consumer units.......       100.0         19.0         23.4         35.5         22.1                                                                                           
Income before taxes a/ ......................     $47,507      $50,568      $47,665      $44,218      $49,960                                                                                           
Income after taxes a/ .......................      44,587       48,040       44,215       41,986       46,164                                                                                           
Age of the reference person..................        48.1         49.5         48.7         48.0         46.6                                                                                           
Average number in consumer unit:                                                                                                                                                                        
 Persons.....................................         2.5          2.5          2.4          2.5          2.6                                                                                           
 Children under 18...........................          .7           .6           .6           .7           .7                                                                                           
 Persons 65 and over.........................          .3           .3           .3           .3           .3                                                                                           
 Earners.....................................         1.4          1.3          1.4          1.3          1.4                                                                                           
 Vehicles....................................         1.9          1.7          2.1          1.9          2.0                                                                                           
Percent distribution:                                                                                                                                                                                   
 Male........................................          51           52           53           49           53                                                                                           
 Female......................................          49           48           47           51           47                                                                                           
 Homeowner...................................          66           64           71           68           61                                                                                           
  With mortgage..............................          40           37           43           39           42                                                                                           
  Without mortgage...........................          26           27           28           29           19                                                                                           
 Renter......................................          34           36           29           32           39                                                                                           
 Black.......................................          12           10           10           19            5                                                                                           
 White and other.............................          88           90           90           81           95                                                                                           
 Elementary (1-8)............................           6            6            5            7            6                                                                                           
 High school (9-12)..........................          38           41           41           41           30                                                                                           
 College.....................................          56           53           55           53           63                                                                                           
 Never attended and other....................          b/           b/           b/           b/            1                                                                                           
 At least one vehicle owned or leased........          88           80           90           89           90                                                                                           
Annual aggregate expenditures................  $4,359,314         19.8         23.4         32.6         24.2                                                                                           
  Food.......................................     586,447         20.4         22.1         34.4         23.0                                                                                           
    Food at home.............................     340,046         21.0         21.9         34.3         22.8                                                                                           
      Cereals and bakery products............      49,834         21.6         22.4         33.9         22.2                                                                                           
        Cereals and cereal products..........      17,243         21.9         22.1         33.2         22.9                                                                                           
        Bakery products......................      32,591         21.4         22.6         34.2         21.8                                                                                           
      Meats, poultry, fish, and eggs.........      91,247         21.7         20.3         36.3         21.8                                                                                           
        Beef.................................      27,338         19.4         21.8         36.8         22.0                                                                                           
        Pork.................................      19,541         19.5         20.9         39.6         20.0                                                                                           
        Other meats..........................      11,248         23.8         21.6         34.3         20.3                                                                                           
        Poultry..............................      16,737         23.7         19.1         35.5         21.7                                                                                           
        Fish and seafood.....................      12,527         25.9         17.0         33.2         24.0                                                                                           
        Eggs.................................       3,856         20.1         18.7         35.1         26.2                                                                                           
      Dairy products.........................      36,554         21.6         23.0         32.2         23.2                                                                                           
        Fresh milk and cream.................      14,971         19.7         23.2         32.7         24.4                                                                                           
        Other dairy products.................      21,583         22.9         22.9         31.8         22.4                                                                                           
      Fruits and vegetables..................      57,499         22.3         20.5         32.8         24.4                                                                                           
        Fresh fruits.........................      17,678         22.8         21.3         31.0         24.9                                                                                           
