FIPS,fmr0,fmr1,fmr2,fmr3,fmr4,county,State,CouSub,pop2000,countyname,Metro_code,Areaname,county_town_name,ACS_2009_smrev_2,state_alpha,fmr_type,metro,FMR_PCT_Change,FMR_Dollar_Change
0106999999,415,488,553,707,808,69,1,99999,88787,Houston County,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",Houston County,531,AL,40,1,1.0414312618,22
0107199999,445,482,536,683,941,71,1,99999,53926,Jackson County,NCNTY01071N01071,"Jackson County, AL",Jackson County,514,AL,40,0,1.0428015564,22
0107399999,593,659,735,933,960,73,1,99999,662047,Jefferson County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,698,AL,40,1,1.053008596,37
0107599999,359,445,536,716,940,75,1,99999,15904,Lamar County,NCNTY01075N01075,"Lamar County, AL",Lamar County,514,AL,40,0,1.0428015564,22
0107799999,490,493,598,762,945,77,1,99999,87966,Lauderdale County,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Lauderdale County,574,AL,40,1,1.0418118467,24
0107999999,467,524,603,789,818,79,1,99999,34803,Lawrence County,METRO19460M19460,"Decatur, AL MSA",Lawrence County,579,AL,40,1,1.0414507772,24
0108199999,421,502,647,851,874,81,1,99999,115092,Lee County,METRO12220M12220,"Auburn-Opelika, AL MSA",Lee County,620,AL,40,1,1.0435483871,27
0108399999,517,563,665,910,999,83,1,99999,65676,Limestone County,METRO26620M26620,"Huntsville, AL MSA",Limestone County,638,AL,40,1,1.0423197492,27
0108599999,552,653,735,975,1287,85,1,99999,13473,Lowndes County,METRO33860M33860,"Montgomery, AL MSA",Lowndes County,706,AL,40,1,1.0410764873,29
0108799999,398,428,552,736,761,87,1,99999,24105,Macon County,NCNTY01087N01087,"Macon County, AL",Macon County,530,AL,40,0,1.041509434,22
0108999999,517,563,665,910,999,89,1,99999,276700,Madison County,METRO26620M26620,"Huntsville, AL MSA",Madison County,638,AL,40,1,1.0423197492,27
0109199999,445,473,536,694,713,91,1,99999,22539,Marengo County,NCNTY01091N01091,"Marengo County, AL",Marengo County,514,AL,40,0,1.0428015564,22
0109399999,348,407,536,681,942,93,1,99999,31214,Marion County,NCNTY01093N01093,"Marion County, AL",Marion County,514,AL,40,0,1.0428015564,22
0109599999,473,507,572,772,851,95,1,99999,82231,Marshall County,NCNTY01095N01095,"Marshall County, AL",Marshall County,549,AL,40,0,1.0418943534,23
0109799999,580,620,700,917,1082,97,1,99999,399843,Mobile County,METRO33660M33660,"Mobile, AL MSA",Mobile County,671,AL,40,1,1.043219076,29
0109999999,445,483,536,742,820,99,1,99999,24324,Monroe County,NCNTY01099N01099,"Monroe County, AL",Monroe County,514,AL,40,0,1.0428015564,22
0110199999,552,653,735,975,1287,101,1,99999,223510,Montgomery County,METRO33860M33860,"Montgomery, AL MSA",Montgomery County,706,AL,40,1,1.0410764873,29
0110399999,467,524,603,789,818,103,1,99999,111064,Morgan County,METRO19460M19460,"Decatur, AL MSA",Morgan County,579,AL,40,1,1.0414507772,24
0110599999,445,473,536,694,713,105,1,99999,11861,Perry County,NCNTY01105N01105,"Perry County, AL",Perry County,514,AL,40,0,1.0428015564,22
0110799999,359,445,536,716,940,107,1,99999,20949,Pickens County,NCNTY01107N01107,"Pickens County, AL",Pickens County,514,AL,40,0,1.0428015564,22
0110999999,427,460,536,688,710,109,1,99999,29605,Pike County,NCNTY01109N01109,"Pike County, AL",Pike County,514,AL,40,0,1.0428015564,22
0111199999,446,448,536,662,825,111,1,99999,22380,Randolph County,NCNTY01111N01111,"Randolph County, AL",Randolph County,514,AL,40,0,1.0428015564,22
0111399999,550,579,663,882,1044,113,1,99999,49756,Russell County,METRO17980M17980,"Columbus, GA-AL MSA",Russell County,640,AL,40,1,1.0359375,23
0111599999,593,659,735,933,960,115,1,99999,64742,St. Clair County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",St. Clair County,698,AL,40,1,1.053008596,37
0111799999,593,659,735,933,960,117,1,99999,143293,Shelby County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Shelby County,698,AL,40,1,1.053008596,37
0111999999,359,458,536,716,940,119,1,99999,14798,Sumter County,NCNTY01119N01119,"Sumter County, AL",Sumter County,514,AL,40,0,1.0428015564,22
0112199999,454,455,545,735,961,121,1,99999,80321,Talladega County,NCNTY01121N01121,"Talladega County, AL",Talladega County,523,AL,40,0,1.0420650096,22
0112399999,429,439,538,759,881,123,1,99999,41475,Tallapoosa County,NCNTY01123N01123,"Tallapoosa County, AL",Tallapoosa County,517,AL,40,0,1.0406189555,21
0112599999,483,558,723,929,958,125,1,99999,164875,Tuscaloosa County,METRO46220M46220,"Tuscaloosa, AL MSA",Tuscaloosa County,694,AL,40,1,1.0417867435,29
0112799999,496,497,596,744,813,127,1,99999,70713,Walker County,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",Walker County,566,AL,40,1,1.0530035336,30
0112999999,444,469,536,680,908,129,1,99999,18097,Washington County,NCNTY01129N01129,"Washington County, AL",Washington County,514,AL,40,0,1.0428015564,22
0113199999,444,469,536,680,908,131,1,99999,13183,Wilcox County,NCNTY01131N01131,"Wilcox County, AL",Wilcox County,514,AL,40,0,1.0428015564,22
0113399999,358,407,536,642,660,133,1,99999,24843,Winston County,NCNTY01133N01133,"Winston County, AL",Winston County,514,AL,40,0,1.0428015564,22
0201399999,815,926,1174,1451,1496,13,2,99999,2697,Aleutians East Borough,NCNTY02013N02013,"Aleutians East Borough, AK",Aleutians East Borough,1120,AK,40,0,1.0482142857,54
0201699999,815,926,1174,1451,1496,16,2,99999,5465,Aleutians West Census Area,NCNTY02016N02016,"Aleutians West Census Area, AK",Aleutians West Census Area,1120,AK,40,0,1.0482142857,54
0202099999,723,822,1031,1485,1808,20,2,99999,260283,Anchorage Municipality,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,990,AK,40,1,1.0414141414,41
0205099999,933,1168,1418,1696,2490,50,2,99999,16006,Bethel Census Area,NCNTY02050N02050,"Bethel Census Area, AK",Bethel Census Area,1352,AK,40,0,1.048816568,66
0206099999,815,926,1174,1451,1496,60,2,99999,1258,Bristol Bay Borough,NCNTY02060N02060,"Bristol Bay Borough, AK",Bristol Bay Borough,1120,AK,40,0,1.0482142857,54
0206899999,686,847,1057,1484,1671,68,2,99999,1893,Denali Borough,NCNTY02068N02068,"Denali Borough, AK",Denali Borough,1008,AK,40,0,1.0486111111,49
0207099999,815,926,1174,1451,1496,70,2,99999,4922,Dillingham Census Area,NCNTY02070N02070,"Dillingham Census Area, AK",Dillingham Census Area,1120,AK,40,0,1.0482142857,54
0209099999,653,785,1004,1454,1535,90,2,99999,82840,Fairbanks North Star Borough,METRO21820M21820,"Fairbanks, AK MSA",Fairbanks North Star Borough,957,AK,40,1,1.0491118077,47
0210099999,686,847,1057,1484,1671,100,2,99999,2392,Haines Borough,NCNTY02100N02100,"Haines Borough, AK",Haines Borough,1008,AK,40,0,1.0486111111,49
0211099999,831,1018,1281,1731,2157,110,2,99999,30711,Juneau City and Borough,NCNTY02110N02110,"Juneau City and Borough, AK",Juneau City and Borough,1222,AK,40,0,1.0482815057,59
0212299999,615,703,855,1171,1501,122,2,99999,49691,Kenai Peninsula Borough,NCNTY02122N02122,"Kenai Peninsula Borough, AK",Kenai Peninsula Borough,815,AK,40,0,1.0490797546,40
0213099999,733,935,1124,1638,1974,130,2,99999,14070,Ketchikan Gateway Borough,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",Ketchikan Gateway Borough,1072,AK,40,0,1.0485074627,52
0215099999,785,920,1210,1739,1840,150,2,99999,13913,Kodiak Island Borough,NCNTY02150N02150,"Kodiak Island Borough, AK",Kodiak Island Borough,1154,AK,40,0,1.0485268631,56
0216499999,815,926,1174,1451,1496,164,2,99999,1823,Lake and Peninsula Borough,NCNTY02164N02164,"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,1120,AK,40,0,1.0482142857,54
0217099999,660,769,981,1395,1694,170,2,99999,59322,Matanuska-Susitna Borough,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",Matanuska-Susitna Borough,935,AK,40,1,1.049197861,46
0218099999,817,1050,1205,1454,1498,180,2,99999,9196,Nome Census Area,NCNTY02180N02180,"Nome Census Area, AK",Nome Census Area,1149,AK,40,0,1.0487380331,56
0218599999,841,983,1292,1545,1590,185,2,99999,7385,North Slope Borough,NCNTY02185N02185,"North Slope Borough, AK",North Slope Borough,1232,AK,40,0,1.0487012987,60
0218899999,815,926,1174,1451,1496,188,2,99999,7208,Northwest Arctic Borough,NCNTY02188N02188,"Northwest Arctic Borough, AK",Northwest Arctic Borough,1120,AK,40,0,1.0482142857,54
0220199999,815,926,1174,1451,1496,201,2,99999,6146,Prince of Wales-Outer Ketchikan Census Area,NCNTY02201N02201,"Prince of Wales-Outer Ketchikan Census Area, AK",Prince of Wales-Outer Ketchikan Census Area,1120,AK,40,0,1.0482142857,54
0222099999,780,899,1073,1563,1883,220,2,99999,8835,Sitka City and Borough,NCNTY02220N02220,"Sitka City and Borough, AK",Sitka City and Borough,1024,AK,40,0,1.0478515625,49
0223299999,815,926,1174,1451,1496,232,2,99999,3436,Skagway-Hoonah-Angoon Census Area,NCNTY02232N02232,"Skagway-Hoonah-Angoon Census Area, AK",Skagway-Hoonah-Angoon Census Area,1120,AK,40,0,1.0482142857,54
0224099999,686,847,1057,1484,1671,240,2,99999,6174,Southeast Fairbanks Census Area,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,1008,AK,40,0,1.0486111111,49
0226199999,686,847,1057,1484,1671,261,2,99999,10195,Valdez-Cordova Census Area,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",Valdez-Cordova Census Area,1008,AK,40,0,1.0486111111,49
0227099999,815,926,1174,1451,1496,270,2,99999,7028,Wade Hampton Census Area,NCNTY02270N02270,"Wade Hampton Census Area, AK",Wade Hampton Census Area,1120,AK,40,0,1.0482142857,54
0228099999,815,926,1174,1451,1496,280,2,99999,6684,Wrangell-Petersburg Census Area,NCNTY02280N02280,"Wrangell-Petersburg Census Area, AK",Wrangell-Petersburg Census Area,1120,AK,40,0,1.0482142857,54
0228299999,815,926,1174,1451,1496,282,2,99999,808,Yakutat City and Borough,NCNTY02282N02282,"Yakutat City and Borough, AK",Yakutat City and Borough,1120,AK,40,0,1.0482142857,54
0229099999,815,926,1174,1451,1496,290,2,99999,6551,Yukon-Koyukuk Census Area,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,1120,AK,40,0,1.0482142857,54
0400199999,433,530,627,870,1102,1,4,99999,69423,Apache County,NCNTY04001N04001,"Apache County, AZ",Apache County,593,AZ,40,0,1.0573355818,34
0400399999,508,589,739,1021,1254,3,4,99999,117755,Cochise County,NCNTY04003N04003,"Cochise County, AZ",Cochise County,699,AZ,40,0,1.0572246066,40
0400599999,820,975,1102,1417,1787,5,4,99999,116320,Coconino County,METRO22380M22380,"Flagstaff, AZ MSA",Coconino County,1044,AZ,40,1,1.0555555556,58
0400799999,554,649,854,1173,1208,7,4,99999,51335,Gila County,NCNTY04007N04007,"Gila County, AZ",Gila County,809,AZ,40,0,1.0556242274,45
0400999999,576,621,695,960,1105,9,4,99999,33489,Graham County,NCNTY04009N04009,"Graham County, AZ",Graham County,657,AZ,40,0,1.0578386606,38
0401199999,526,585,734,1009,1141,11,4,99999,8547,Greenlee County,NCNTY04011N04011,"Greenlee County, AZ",Greenlee County,695,AZ,40,0,1.0561151079,39
0401299999,591,592,710,1005,1034,12,4,99999,19715,La Paz County,NCNTY04012N04012,"La Paz County, AZ",La Paz County,672,AZ,40,0,1.056547619,38
0401399999,654,762,919,1338,1567,13,4,99999,3072149,Maricopa County,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",Maricopa County,877,AZ,40,1,1.0478905359,42
0401599999,615,676,788,1090,1216,15,4,99999,155032,Mohave County,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",Mohave County,746,AZ,40,1,1.0563002681,42
0401799999,516,552,728,981,1162,17,4,99999,97470,Navajo County,NCNTY04017N04017,"Navajo County, AZ",Navajo County,689,AZ,40,0,1.0566037736,39
0401999999,540,635,815,1174,1240,19,4,99999,843746,Pima County,METRO46060M46060,"Tucson, AZ MSA",Pima County,743,AZ,40,1,1.0969044415,72
0402199999,654,762,919,1338,1567,21,4,99999,179727,Pinal County,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",Pinal County,877,AZ,40,1,1.0478905359,42
0402399999,607,608,770,1123,1156,23,4,99999,38381,Santa Cruz County,NCNTY04023N04023,"Santa Cruz County, AZ",Santa Cruz County,729,AZ,40,0,1.0562414266,41
0402599999,683,706,891,1298,1337,25,4,99999,167517,Yavapai County,METRO39140M39140,"Prescott, AZ MSA",Yavapai County,844,AZ,40,1,1.0556872038,47
0402799999,574,678,810,1149,1408,27,4,99999,160026,Yuma County,METRO49740M49740,"Yuma, AZ MSA",Yuma County,767,AZ,40,1,1.0560625815,43
0500199999,393,414,515,748,769,1,5,99999,20749,Arkansas County,NCNTY05001N05001,"Arkansas County, AR",Arkansas County,512,AR,40,0,1.005859375,3
0500399999,400,414,544,652,717,3,5,99999,24209,Ashley County,NCNTY05003N05003,"Ashley County, AR",Ashley County,541,AR,40,0,1.0055452865,3
0500599999,394,458,554,745,939,5,5,99999,38386,Baxter County,NCNTY05005N05005,"Baxter County, AR",Baxter County,551,AR,40,0,1.0054446461,3
0500799999,497,524,655,954,981,7,5,99999,153406,Benton County,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Benton County,651,AR,40,1,1.0061443932,4
0500999999,435,436,524,671,754,9,5,99999,33948,Boone County,NCNTY05009N05009,"Boone County, AR",Boone County,521,AR,40,0,1.0057581574,3
0501199999,383,389,515,639,677,11,5,99999,12600,Bradley County,NCNTY05011N05011,"Bradley County, AR",Bradley County,512,AR,40,0,1.005859375,3
0501399999,333,462,515,656,835,13,5,99999,5744,Calhoun County,NCNTY05013N05013,"Calhoun County, AR",Calhoun County,512,AR,40,0,1.005859375,3
0501599999,451,452,543,685,954,15,5,99999,25357,Carroll County,NCNTY05015N05015,"Carroll County, AR",Carroll County,540,AR,40,0,1.0055555556,3
0501799999,383,389,515,639,677,17,5,99999,14117,Chicot County,NCNTY05017N05017,"Chicot County, AR",Chicot County,512,AR,40,0,1.005859375,3
0501999999,410,416,535,690,710,19,5,99999,23546,Clark County,NCNTY05019N05019,"Clark County, AR",Clark County,532,AR,40,0,1.0056390977,3
0502199999,415,417,515,660,702,21,5,99999,17609,Clay County,NCNTY05021N05021,"Clay County, AR",Clay County,512,AR,40,0,1.005859375,3
0502399999,467,468,561,769,987,23,5,99999,24046,Cleburne County,NCNTY05023N05023,"Cleburne County, AR",Cleburne County,557,AR,40,0,1.0071813285,4
0502599999,398,472,592,710,842,25,5,99999,8571,Cleveland County,METRO38220M38220,"Pine Bluff, AR MSA",Cleveland County,588,AR,40,1,1.0068027211,4
0502799999,337,433,519,637,729,27,5,99999,25603,Columbia County,NCNTY05027N05027,"Columbia County, AR",Columbia County,517,AR,40,0,1.003868472,2
0502999999,428,441,515,709,771,29,5,99999,20336,Conway County,NCNTY05029N05029,"Conway County, AR",Conway County,512,AR,40,0,1.005859375,3
0503199999,469,489,564,794,818,31,5,99999,82148,Craighead County,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",Craighead County,561,AR,40,1,1.0053475936,3
0503399999,394,447,557,742,808,33,5,99999,53247,Crawford County,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",Crawford County,554,AR,40,1,1.0054151625,3
0503599999,648,705,783,1043,1076,35,5,99999,50866,Crittenden County,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",Crittenden County,746,AR,40,1,1.0495978552,37
0503799999,430,431,518,755,825,37,5,99999,19526,Cross County,NCNTY05037N05037,"Cross County, AR",Cross County,515,AR,40,0,1.0058252427,3
0503999999,333,462,515,656,835,39,5,99999,9210,Dallas County,NCNTY05039N05039,"Dallas County, AR",Dallas County,512,AR,40,0,1.005859375,3
0504199999,383,389,515,655,677,41,5,99999,15341,Desha County,NCNTY05041N05041,"Desha County, AR",Desha County,512,AR,40,0,1.005859375,3
0504399999,368,473,568,714,996,43,5,99999,18723,Drew County,NCNTY05043N05043,"Drew County, AR",Drew County,565,AR,40,0,1.0053097345,3
0504599999,540,614,684,916,945,45,5,99999,86014,Faulkner County,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Faulkner County,680,AR,40,1,1.0058823529,4
0504799999,335,438,515,653,797,47,5,99999,17771,Franklin County,METRO22900N05047,"Franklin County, AR HUD Metro FMR Area",Franklin County,512,AR,40,1,1.005859375,3
0504999999,410,411,515,677,755,49,5,99999,11642,Fulton County,NCNTY05049N05049,"Fulton County, AR",Fulton County,512,AR,40,0,1.005859375,3
0505199999,402,499,621,775,799,51,5,99999,88068,Garland County,METRO26300M26300,"Hot Springs, AR MSA",Garland County,617,AR,40,1,1.0064829822,4
0505399999,433,446,545,789,813,53,5,99999,16464,Grant County,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",Grant County,542,AR,40,1,1.0055350554,3
0505599999,334,465,515,753,776,55,5,99999,37331,Greene County,NCNTY05055N05055,"Greene County, AR",Greene County,512,AR,40,0,1.005859375,3
0505799999,403,451,528,633,727,57,5,99999,23587,Hempstead County,NCNTY05057N05057,"Hempstead County, AR",Hempstead County,525,AR,40,0,1.0057142857,3
0505999999,429,430,515,675,696,59,5,99999,30353,Hot Spring County,NCNTY05059N05059,"Hot Spring County, AR",Hot Spring County,512,AR,40,0,1.005859375,3
0506199999,393,457,515,663,685,61,5,99999,14300,Howard County,NCNTY05061N05061,"Howard County, AR",Howard County,512,AR,40,0,1.005859375,3
0506399999,358,426,515,666,723,63,5,99999,34233,Independence County,NCNTY05063N05063,"Independence County, AR",Independence County,512,AR,40,0,1.005859375,3
0506599999,410,411,515,677,755,65,5,99999,13249,Izard County,NCNTY05065N05065,"Izard County, AR",Izard County,512,AR,40,0,1.005859375,3
0506799999,347,455,515,727,749,67,5,99999,18418,Jackson County,NCNTY05067N05067,"Jackson County, AR",Jackson County,512,AR,40,0,1.005859375,3
0506999999,398,472,592,710,842,69,5,99999,84278,Jefferson County,METRO38220M38220,"Pine Bluff, AR MSA",Jefferson County,588,AR,40,1,1.0068027211,4
0507199999,334,458,515,686,820,71,5,99999,22781,Johnson County,NCNTY05071N05071,"Johnson County, AR",Johnson County,512,AR,40,0,1.005859375,3
0507399999,406,465,534,639,764,73,5,99999,8559,Lafayette County,NCNTY05073N05073,"Lafayette County, AR",Lafayette County,531,AR,40,0,1.0056497175,3
0507599999,336,411,515,633,837,75,5,99999,17774,Lawrence County,NCNTY05075N05075,"Lawrence County, AR",Lawrence County,512,AR,40,0,1.005859375,3
0507799999,366,414,515,686,798,77,5,99999,12580,Lee County,NCNTY05077N05077,"Lee County, AR",Lee County,512,AR,40,0,1.005859375,3
0507999999,398,472,592,710,842,79,5,99999,14492,Lincoln County,METRO38220M38220,"Pine Bluff, AR MSA",Lincoln County,588,AR,40,1,1.0068027211,4
0508199999,406,465,534,651,764,81,5,99999,13628,Little River County,NCNTY05081N05081,"Little River County, AR",Little River County,531,AR,40,0,1.0056497175,3
0508399999,335,433,515,736,824,83,5,99999,22486,Logan County,NCNTY05083N05083,"Logan County, AR",Logan County,512,AR,40,0,1.005859375,3
0508599999,540,614,684,916,945,85,5,99999,52828,Lonoke County,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Lonoke County,680,AR,40,1,1.0058823529,4
0508799999,497,524,655,954,981,87,5,99999,14243,Madison County,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Madison County,651,AR,40,1,1.0061443932,4
0508999999,427,429,515,678,746,89,5,99999,16140,Marion County,NCNTY05089N05089,"Marion County, AR",Marion County,512,AR,40,0,1.005859375,3
0509199999,501,506,623,760,827,91,5,99999,40443,Miller County,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",Miller County,612,AR,40,1,1.0179738562,11
0509399999,362,404,529,698,842,93,5,99999,51979,Mississippi County,NCNTY05093N05093,"Mississippi County, AR",Mississippi County,527,AR,40,0,1.0037950664,2
0509599999,428,430,515,645,666,95,5,99999,10254,Monroe County,NCNTY05095N05095,"Monroe County, AR",Monroe County,512,AR,40,0,1.005859375,3
0509799999,399,464,584,734,756,97,5,99999,9245,Montgomery County,NCNTY05097N05097,"Montgomery County, AR",Montgomery County,581,AR,40,0,1.0051635112,3
0509999999,406,465,534,639,764,99,5,99999,9955,Nevada County,NCNTY05099N05099,"Nevada County, AR",Nevada County,531,AR,40,0,1.0056497175,3
0510199999,429,430,517,667,750,101,5,99999,8608,Newton County,NCNTY05101N05101,"Newton County, AR",Newton County,514,AR,40,0,1.0058365759,3
0510399999,333,464,515,709,831,103,5,99999,28790,Ouachita County,NCNTY05103N05103,"Ouachita County, AR",Ouachita County,512,AR,40,0,1.005859375,3
0510599999,540,614,684,916,945,105,5,99999,10209,Perry County,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Perry County,680,AR,40,1,1.0058823529,4
0510799999,427,431,515,671,692,107,5,99999,26445,Phillips County,NCNTY05107N05107,"Phillips County, AR",Phillips County,512,AR,40,0,1.005859375,3
0510999999,406,465,534,639,764,109,5,99999,11303,Pike County,NCNTY05109N05109,"Pike County, AR",Pike County,531,AR,40,0,1.0056497175,3
0511199999,335,433,515,685,820,111,5,99999,25614,Poinsett County,METRO27860N05111,"Poinsett County, AR HUD Metro FMR Area",Poinsett County,512,AR,40,1,1.005859375,3
0511399999,428,464,515,670,814,113,5,99999,20229,Polk County,NCNTY05113N05113,"Polk County, AR",Polk County,512,AR,40,0,1.005859375,3
0511599999,387,415,537,757,778,115,5,99999,54469,Pope County,NCNTY05115N05115,"Pope County, AR",Pope County,534,AR,40,0,1.0056179775,3
